Gene	ensembl_id
OR5D13	ENSG00000279761
OR5D14	ENSG00000186113
OR5D16	ENSG00000205029
OR5D18	ENSG00000186119
OR5F1	ENSG00000149133
OR5I1	ENSG00000167825
OR5J2	ENSG00000174957
OR5L1	ENSG00000279395
OR5L2	ENSG00000205030
OR5M1	ENSG00000255012
OR5M10	ENSG00000254834
OR5M11	ENSG00000255223
OR5M3	ENSG00000174937
OR5M8	ENSG00000181371
OR5M9	ENSG00000150269
OR5R1	ENSG00000279961
OR5T1	ENSG00000181698
OR5T2	ENSG00000181718
OR5T3	ENSG00000172489
OR5W2	ENSG00000187612
OR8H1	ENSG00000181693
OR8H2	ENSG00000181767
OR8H3	ENSG00000181761
OR8I2	ENSG00000172154
OR8J1	ENSG00000172487
OR8J3	ENSG00000167822
OR8K1	ENSG00000150261
OR8K3	ENSG00000280314
OR8K5	ENSG00000181752
OR8U1	ENSG00000172199
OR9G1	ENSG00000174914
OR9G4	ENSG00000172457
PMS1	ENSG00000064933
SFXN2	ENSG00000156398
SUFU	ENSG00000107882
TAF5	ENSG00000148835
TRIM48	ENSG00000150244
USMG5	ENSG00000173915
CASZ1	ENSG00000130940
ENPEP	ENSG00000138792
MOV10	ENSG00000155363
RHOC	ENSG00000155366
ST7L	ENSG00000007341
WNT2B	ENSG00000134245
C10orf107	ENSG00000183346
CACNB2	ENSG00000165995
CYP17A1	ENSG00000148795
GOSR2	ENSG00000108433
RPRML	ENSG00000179673
TRIM38	ENSG00000112343
ADAMTS8	ENSG00000134917
ATP2B1	ENSG00000070961
COX5A	ENSG00000178741
NOV	ENSG00000136999
NPR3	ENSG00000113389
PLEKHA7	ENSG00000166689
RPP25	ENSG00000178718
SCAMP2	ENSG00000140497
ZNF532	ENSG00000074657
MPDZ	ENSG00000107186
TYRP1	ENSG00000107165
PKHD1L1	ENSG00000205038
TRHR	ENSG00000174417
CRYGS	ENSG00000213139
ETV5	ENSG00000244405
KCTD15	ENSG00000153885
AGBL2	ENSG00000165923
CD19	ENSG00000177455
FAM180B	ENSG00000196666
FNBP4	ENSG00000109920
LAT	ENSG00000213658
MTCH2	ENSG00000109919
NDUFS3	ENSG00000213619
NFATC2IP	ENSG00000176953
NUP160	ENSG00000030066
PSMC3	ENSG00000165916
PTPMT1	ENSG00000110536
RABEP2	ENSG00000177548
RAPSN	ENSG00000165917
SH2B1	ENSG00000178188
SH3YL1	ENSG00000035115
SLC39A13	ENSG00000165915
TUFM	ENSG00000178952
ACP2	ENSG00000134575
ATP2A1	ENSG00000196296
ATXN2L	ENSG00000168488
BANK1	ENSG00000153064
BCDIN3D	ENSG00000186666
C15orf61	ENSG00000189227
C1QTNF4	ENSG00000172247
CADM2	ENSG00000175161
CALML4	ENSG00000129007
CCDC101	ENSG00000176476
CELF1	ENSG00000149187
CLN3	ENSG00000188603
DNAJC27	ENSG00000115137
EIF3C	ENSG00000184110
EIF3CL	ENSG00000205609
EIF3F	ENSG00000175390
FAIM2	ENSG00000135472
FPGT-TNNI3K	ENSG00000259030
GIPR	ENSG00000010310
GPRC5B	ENSG00000167191
GTF3A	ENSG00000122034
IL27	ENSG00000197272
IQCH	ENSG00000103599
IQCK	ENSG00000174628
LGR4	ENSG00000205213
LIN7C	ENSG00000148943
LINGO2	ENSG00000174482
LMBR1L	ENSG00000139636
MAP2K5	ENSG00000137764
MTIF3	ENSG00000122033
MYBPC3	ENSG00000134571
NCKAP5L	ENSG00000167566
NEGR1	ENSG00000172260
NPIPL1	ENSG00000233232
NR1H3	ENSG00000025434
NRXN3	ENSG00000021645
NUPR1	ENSG00000176046
PPM1N	ENSG00000213889
QPCTL	ENSG00000011478
SEC16B	ENSG00000120341
SKOR1	ENSG00000188779
SLC39A8	ENSG00000138821
SPI1	ENSG00000066336
SPNS1	ENSG00000169682
STK33	ENSG00000130413
SULT1A1	ENSG00000196502
SULT1A2	ENSG00000197165
SULT1A4	ENSG00000213648
TNNI3K	ENSG00000116783
TRIM66	ENSG00000166436
ZC3H4	ENSG00000130749
C2orf44	ENSG00000163026
ADCY3	ENSG00000138031
BDNF	ENSG00000176697
CTD-2260A17.2	NA
EML2	ENSG00000125746
KLF9	ENSG00000119138
SMC5	ENSG00000198887
DGKH	ENSG00000102780
WNT16	ENSG00000002745
AAAS	ENSG00000094914
AMBRA1	ENSG00000110497
AMPH	ENSG00000078053
ARFGAP2	ENSG00000149182
ARHGAP1	ENSG00000175220
ATG13	ENSG00000175224
C11orf49	ENSG00000149179
C12orf10	ENSG00000139637
CKAP5	ENSG00000175216
COLEC10	ENSG00000184374
CPT1A	ENSG00000110090
CSAD	ENSG00000139631
DDB2	ENSG00000134574
EML6	ENSG00000214595
ESPL1	ENSG00000135476
F2	ENSG00000180210
FAM3C	ENSG00000196937
LRP4	ENSG00000134569
LRP5	ENSG00000162337
MADD	ENSG00000110514
MAP3K12	ENSG00000139625
MTL5	ENSG00000132749
PACSIN3	ENSG00000165912
PHF21A	ENSG00000135365
SFRP4	ENSG00000106483
SP7	ENSG00000170374
SPTBN1	ENSG00000115306
TNFRSF11A	ENSG00000141655
WLS	ENSG00000116729
ZNF408	ENSG00000175213
ASB16	ENSG00000161664
ATXN7L3	ENSG00000087152
C17orf53	ENSG00000125319
FAM171A2	ENSG00000161682
HDAC5	ENSG00000108840
NTAN1	ENSG00000157045
PDXDC1	ENSG00000179889
RRN3	ENSG00000085721
SLC25A39	ENSG00000013306
TMUB2	ENSG00000168591
UBTF	ENSG00000108312
WNT4	ENSG00000162552
CTNNB1	ENSG00000168036
SYNE1	ENSG00000131018
BAG5	ENSG00000166170
CKB	ENSG00000166165
MARK3	ENSG00000075413
RCOR1	ENSG00000089902
TRMT61A	ENSG00000166166
DCDC1	ENSG00000170959
DNAJC24	ENSG00000170946
AKAP11	ENSG00000023516
C6orf211	ENSG00000146476
ESR1	ENSG00000091831
RMND1	ENSG00000155906
SHFM1	ENSG00000127922
TNFRSF11B	ENSG00000164761
TNFSF11	ENSG00000120659
FBXW8	ENSG00000174989
HRK	ENSG00000135116
NOS1	ENSG00000089250
FGFR2	ENSG00000066468
GPBP1	ENSG00000062194
LSP1	ENSG00000130592
MAP3K1	ENSG00000095015
MIER3	ENSG00000155545
TACC2	ENSG00000138162
TNNT3	ENSG00000130595
TOX3	ENSG00000103460
NBPF11	ENSG00000263956
NBPF14	ENSG00000270629
NBPF3	ENSG00000142794
ABHD8	ENSG00000127220
ANKLE1	ENSG00000160117
ANO8	ENSG00000074855
DDA1	ENSG00000130311
GTPBP3	ENSG00000130299
MRPL34	ENSG00000130312
NR2F6	ENSG00000160113
SYNPR	ENSG00000163630
USHBP1	ENSG00000130307
MRPS30	ENSG00000112996
TERT	ENSG00000164362
AHCY	ENSG00000101444
DYNLRB1	ENSG00000125971
EIF2S2	ENSG00000125977
ITCH	ENSG00000078747
RALY	ENSG00000125970
ZFYVE26	ENSG00000072121
KCNU1	ENSG00000215262
PTHLH	ENSG00000087494
ATP1A2	ENSG00000018625
ATP1A4	ENSG00000132681
DARC	ENSG00000213088
OR10J3	ENSG00000196266
KLHL7	ENSG00000122550
RAPGEF5	ENSG00000136237
AKIRIN1	ENSG00000174574
ANAPC5	ENSG00000089053
BAZ1B	ENSG00000009954
BCL7B	ENSG00000106635
BMP8A	ENSG00000183682
FZD9	ENSG00000188763
GCKR	ENSG00000084734
HEYL	ENSG00000163909
HNF1A	ENSG00000135100
HNF4A	ENSG00000101076
HPCAL4	ENSG00000116983
IL1RN	ENSG00000136689
IL6R	ENSG00000160712
KIAA0754	ENSG00000127603
MACF1	ENSG00000127603
MLXIPL	ENSG00000009950
MYCBP	ENSG00000214114
NLRP3	ENSG00000162711
OASL	ENSG00000135114
PABPC4	ENSG00000090621
PPIE	ENSG00000084072
PPT1	ENSG00000131238
RRAGC	ENSG00000116954
SALL1	ENSG00000103449
SNX17	ENSG00000115234
TBL2	ENSG00000106638
C12orf43	ENSG00000157895
GCN1L1	ENSG00000089154
TREM2	ENSG00000095970
TREML2	ENSG00000112195
DOCK4	ENSG00000128512
KCNE4	ENSG00000152049
PPP3CA	ENSG00000138814
THRA	ENSG00000126351
CYP11A1	ENSG00000140459
KCNJ2	ENSG00000123700
NOS1AP	ENSG00000198929
MCM9	ENSG00000111877
PLN	ENSG00000198523
SLC35F1	ENSG00000196376
ADAMTS7	ENSG00000136378
ABO	ENSG00000175164
APOA1	ENSG00000118137
APOB	ENSG00000084674
APOC3	ENSG00000110245
BCHE	ENSG00000114200
CEP164	ENSG00000110274
CSGALNACT1	ENSG00000147408
HIST1H2AA	ENSG00000164508
HIST1H2BA	ENSG00000146047
LDLR	ENSG00000130164
LPL	ENSG00000175445
PAFAH1B2	ENSG00000168092
PCSK7	ENSG00000160613
SCGN	ENSG00000079689
SIDT2	ENSG00000149577
SIK3	ENSG00000160584
SLC17A1	ENSG00000124568
SLC17A4	ENSG00000146039
SMARCA4	ENSG00000127616
WDR1	ENSG00000071127
APOA5	ENSG00000110243
APOC4	ENSG00000267467
ATP6V1B2	ENSG00000147416
BUD13	ENSG00000137656
LZTS1	ENSG00000061337
PLLP	ENSG00000102934
SLC2A9	ENSG00000109667
TAGLN	ENSG00000149591
ZNF259	ENSG00000109917
EDNRA	ENSG00000151617
ARCN1	ENSG00000095139
ATP5L	ENSG00000167283
BCL9L	ENSG00000186174
C2CD2L	ENSG00000172375
CCDC84	ENSG00000186166
CD247	ENSG00000198821
DCAF6	ENSG00000143164
DDX6	ENSG00000110367
DPAGT1	ENSG00000172269
FOXR1	ENSG00000176302
H2AFX	ENSG00000188486
HINFP	ENSG00000172273
HMBS	ENSG00000256269
HYOU1	ENSG00000149428
IFT46	ENSG00000118096
LBH	ENSG00000213626
NLRX1	ENSG00000160703
RNF26	ENSG00000173456
RP11-770J1.5	NA
RPS25	ENSG00000118181
SLC37A4	ENSG00000137700
STAT4	ENSG00000138378
TRAPPC4	ENSG00000196655
TREH	ENSG00000118094
TTC36	ENSG00000172425
VPS11	ENSG00000160695
YPEL5	ENSG00000119801
C1QTNF6	ENSG00000133466
CSF2RB	ENSG00000100368
CYTH4	ENSG00000100055
GGA1	ENSG00000100083
GGT2	ENSG00000133475
IFT27	ENSG00000100360
MFNG	ENSG00000100060
NCF4	ENSG00000100365
POM121L7	ENSG00000239511
RAC2	ENSG00000128340
RIMBP3B	ENSG00000274600
SDF2L1	ENSG00000128228
TOP3B	ENSG00000100038
UBASH3A	ENSG00000160185
UBE2L3	ENSG00000185651
UMODL1	ENSG00000177398
YDJC	ENSG00000161179
FOXO1	ENSG00000150907
AKAP13	ENSG00000170776
ZFPM1	ENSG00000179588
ANTXR1	ENSG00000169604
HNMT	ENSG00000150540
IGFBP4	ENSG00000141753
RPL19	ENSG00000108298
STAC2	ENSG00000141750
ABCG5	ENSG00000138075
ABCG8	ENSG00000143921
COL4A3BP	ENSG00000113163
DOCK7	ENSG00000116641
FAM169A	ENSG00000198780
GMIP	ENSG00000089639
HMGCR	ENSG00000113161
KIAA0196	ENSG00000164961
MAN1C1	ENSG00000117643
POLK	ENSG00000122008
RHD	ENSG00000187010
SH3BGRL3	ENSG00000142669
SQLE	ENSG00000104549
ANGPTL3	ENSG00000132855
ATG4C	ENSG00000125703
CPSF7	ENSG00000149532
DNAH11	ENSG00000105877
FADS1	ENSG00000149485
FADS2	ENSG00000134824
FADS3	ENSG00000221968
FEN1	ENSG00000168496
NXF1	ENSG00000162231
RAB3GAP1	ENSG00000115839
USP1	ENSG00000162607
ABCA1	ENSG00000165029
ACAD10	ENSG00000111271
BCL2L12	ENSG00000126453
DHODH	ENSG00000102967
DHX38	ENSG00000140829
ERI1	ENSG00000104626
FUT1	ENSG00000174951
FUT2	ENSG00000176920
HPR	ENSG00000261701
IZUMO1	ENSG00000182264
LIN7B	ENSG00000104863
LIPC	ENSG00000166035
LPA	ENSG00000198670
MAMSTR	ENSG00000176909
MYLIP	ENSG00000007944
NTN5	ENSG00000142233
PLG	ENSG00000122194
RASIP1	ENSG00000105538
TNKS	ENSG00000173273
UBASH3B	ENSG00000154127
ZNF20	ENSG00000132010
DEPDC5	ENSG00000100150
PISD	ENSG00000241878
ALMS1	ENSG00000116127
ANXA9	ENSG00000143412
ARNT	ENSG00000143437
ATP1B3	ENSG00000069849
ATR	ENSG00000175054
AUP1	ENSG00000115307
BCAS3	ENSG00000141376
CLTB	ENSG00000175416
CPS1	ENSG00000021826
CST3	ENSG00000101439
CST9	ENSG00000173335
CTSS	ENSG00000163131
DACH1	ENSG00000276644
DUSP11	ENSG00000144048
FAM122A	ENSG00000187866
FAM153A	ENSG00000170074
GOLPH3L	ENSG00000143457
GTPBP4	ENSG00000107937
HORMAD1	ENSG00000143452
IDI1	ENSG00000067064
IDI2	ENSG00000148377
KDM5A	ENSG00000073614
NAT8	ENSG00000144035
NOTO	ENSG00000214513
PHTF2	ENSG00000006576
PIP5K1B	ENSG00000107242
PTPN12	ENSG00000127947
RMND5B	ENSG00000145916
RSBN1L	ENSG00000187257
SETDB1	ENSG00000143379
SLC22A2	ENSG00000112499
SLC34A1	ENSG00000131183
SLC6A12	ENSG00000111181
SLC6A13	ENSG00000010379
SLC7A9	ENSG00000021488
SMYD5	ENSG00000135632
STAMBP	ENSG00000124356
TFDP2	ENSG00000114126
TMED9	ENSG00000184840
TMEM60	ENSG00000135211
UBE2Q2	ENSG00000140367
WDR37	ENSG00000047056
WDR72	ENSG00000166415
ADAM28	ENSG00000042980
AGMAT	ENSG00000116771
C15orf48	ENSG00000166920
C1orf195	ENSG00000204464
C9	ENSG00000113600
CASP9	ENSG00000132906
CCDC158	ENSG00000163749
CCNG2	ENSG00000138764
CELA2B	ENSG00000215704
DAB2	ENSG00000153071
DNAJC16	ENSG00000116138
FHAD1	ENSG00000142621
GATM	ENSG00000171766
PLEKHM2	ENSG00000116786
PRKAG2	ENSG00000106617
RHEB	ENSG00000106615
RICTOR	ENSG00000164327
SHROOM3	ENSG00000138771
SLC25A34	ENSG00000162461
SLC30A4	ENSG00000104154
SLC47A1	ENSG00000142494
SPATA5L1	ENSG00000171763
SPEN	ENSG00000065526
STC1	ENSG00000159167
THUMPD1	ENSG00000066654
UMOD	ENSG00000169344
ACOXL	ENSG00000153093
BUB1	ENSG00000169679
DUSP22	ENSG00000112679
EXOC2	ENSG00000112685
FKRP	ENSG00000181027
PRKD2	ENSG00000105287
RGPD5	ENSG00000015568
SLC1A5	ENSG00000105281
SP140	ENSG00000079263
STRN4	ENSG00000090372
FARP2	ENSG00000006607
HDLBP	ENSG00000115677
SEPT2	ENSG00000168385
STK25	ENSG00000115694
IRF8	ENSG00000140968
MTRNR2L1	ENSG00000256618
FAM13A	ENSG00000138640
HERC3	ENSG00000138641
EGLN2	ENSG00000269858
RAB4B	ENSG00000167578
SNRPA	ENSG00000077312
AHNAK	ENSG00000124942
ANXA11	ENSG00000122359
ASRGL1	ENSG00000162174
ATP2C2	ENSG00000064270
B3GAT3	ENSG00000149541
C11orf48	ENSG00000162194
EEF1G	ENSG00000254772
GANAB	ENSG00000089597
HNRNPUL2	ENSG00000214753
INCENP	ENSG00000149503
MTA2	ENSG00000149480
PLAC9	ENSG00000189129
SCGB1A1	ENSG00000149021
SCGB1D4	ENSG00000197745
SCGB2A2	ENSG00000110484
SFTPA1	ENSG00000122852
SFTPA2	ENSG00000185303
SFTPD	ENSG00000133661
SLC3A2	ENSG00000168003
SNHG1	ENSG00000255717
TAF6L	ENSG00000162227
TSPAN14	ENSG00000108219
TTC9C	ENSG00000162222
TUT1	ENSG00000149016
WDR74	ENSG00000133316
ZBTB3	ENSG00000185670
ADM	ENSG00000148926
AMPD3	ENSG00000133805
CTR9	ENSG00000198730
EDN1	ENSG00000078401
PHACTR1	ENSG00000112137
SBF2	ENSG00000133812
C1orf74	ENSG00000162757
HSD11B1	ENSG00000117594
NTN1	ENSG00000065320
SERTAD4	ENSG00000082497
SYT14	ENSG00000143469
C9orf96	ENSG00000198870
NCAPD2	ENSG00000010292
SCNN1A	ENSG00000111319
TPI1	ENSG00000111669
VWF	ENSG00000110799
LMAN1L	ENSG00000140506
ULK3	ENSG00000140474
EPS8	ENSG00000151491
PTPRO	ENSG00000151490
COL19A1	ENSG00000082293
POU5F1B	ENSG00000212993
SMAD7	ENSG00000101665
BMP4	ENSG00000125378
C11orf53	ENSG00000150750
C11orf92	ENSG00000196167
C11orf93	ENSG00000214290
CDH1	ENSG00000039068
CDH3	ENSG00000062038
ESRP2	ENSG00000103067
GPATCH1	ENSG00000076650
PRMT7	ENSG00000132600
RHPN2	ENSG00000131941
SLC12A4	ENSG00000124067
SLC7A6OS	ENSG00000103061
ZFP90	ENSG00000184939
ATF1	ENSG00000123268
C20orf166	ENSG00000174407
CABLES2	ENSG00000149679
DIP2B	ENSG00000066084
LAMA5	ENSG00000130702
OSBPL2	ENSG00000130703
RPS21	ENSG00000171858
IGF2R	ENSG00000197081
SLC22A3	ENSG00000146477
CDKN1A	ENSG00000124762
FGD2	ENSG00000146192
POLD3	ENSG00000077514
HAO1	ENSG00000101323
ANKRD11	ENSG00000167522
BNC2	ENSG00000173068
CHMP4B	ENSG00000101421
CRCT1	ENSG00000169509
EIF6	ENSG00000242372
EPB41L1	ENSG00000088367
GRM5	ENSG00000168959
LCE2B	ENSG00000159455
LCE2C	ENSG00000187180
LCE2D	ENSG00000187223
LCE3E	ENSG00000185966
LCE5A	ENSG00000186207
LINGO4	ENSG00000213171
NOX4	ENSG00000086991
OR14C36	ENSG00000177174
OR2G6	ENSG00000188558
OR2M2	ENSG00000198601
OR2M3	ENSG00000228198
OR2M4	ENSG00000171180
OR2M7	ENSG00000177186
OR2T1	ENSG00000175143
OR2T10	ENSG00000184022
OR2T12	ENSG00000177201
OR2T29	ENSG00000182783
OR2T33	ENSG00000177212
OR2T34	ENSG00000183310
OR2T4	ENSG00000196944
OR2T5	ENSG00000203661
OR2T6	ENSG00000198104
PGBD2	ENSG00000185220
PHF20	ENSG00000025293
PXMP4	ENSG00000101417
RPL13	ENSG00000167526
S100A10	ENSG00000197747
S100A11	ENSG00000163191
SLC45A2	ENSG00000164175
SPATA2L	ENSG00000158792
SPIRE2	ENSG00000204991
TCHH	ENSG00000159450
TCHHL1	ENSG00000182898
THEM5	ENSG00000196407
TYR	ENSG00000077498
UQCC	ENSG00000101019
WNT10A	ENSG00000135925
WNT6	ENSG00000115596
KCNT2	ENSG00000162687
C1QTNF7	ENSG00000163145
CC2D2A	ENSG00000048342
FAT3	ENSG00000165323
PDGFRA	ENSG00000134853
ANGPTL7	ENSG00000171819
C1orf127	ENSG00000175262
EXOSC10	ENSG00000171824
MASP2	ENSG00000009724
MTOR	ENSG00000198793
SRM	ENSG00000116649
TARDBP	ENSG00000120948
UBIAD1	ENSG00000120942
TMEM132C	ENSG00000181234
ADAMTS6	ENSG00000049192
ASL	ENSG00000126522
CHSY1	ENSG00000131873
COL4A3	ENSG00000169031
COL5A1	ENSG00000130635
COL8A2	ENSG00000171812
CRCP	ENSG00000241258
FCN2	ENSG00000160339
FNDC3B	ENSG00000075420
GLT8D2	ENSG00000120820
GUSB	ENSG00000169919
KCTD7	ENSG00000243335
LPAR1	ENSG00000198121
LRRK1	ENSG00000154237
MFF	ENSG00000168958
RABGEF1	ENSG00000154710
SBDS	ENSG00000126524
TDG	ENSG00000139372
TEKT2	ENSG00000092850
TPST1	ENSG00000169902
TRAPPC3	ENSG00000054116
TYW1	ENSG00000198874
VKORC1L1	ENSG00000196715
ZNF92	ENSG00000146757
CWC27	ENSG00000153015
MRAS	ENSG00000158186
CDKN2A	ENSG00000147889
MTAP	ENSG00000099810
KIAA1462	ENSG00000165757
C16orf70	ENSG00000125149
CARM1	ENSG00000142453
CBFB	ENSG00000067955
CES3	ENSG00000172828
CES4A	ENSG00000172824
CMTM3	ENSG00000140931
E2F4	ENSG00000205250
ELMO3	ENSG00000102890
FBXL8	ENSG00000135722
FHOD1	ENSG00000135723
KIAA0895L	ENSG00000196123
KRI1	ENSG00000129347
LRRC29	ENSG00000125122
NOL3	ENSG00000140939
SLC9A5	ENSG00000135740
TMEM208	ENSG00000168701
ABCC8	ENSG00000006071
ABI3	ENSG00000108798
ACACB	ENSG00000076555
ACBD4	ENSG00000181513
ACD	ENSG00000102977
AIDA	ENSG00000186063
ANGPTL4	ENSG00000167772
BROX	ENSG00000162819
C11orf58	ENSG00000110696
C15orf39	ENSG00000167173
C16orf86	ENSG00000159761
C1QL1	ENSG00000131094
CAMK1D	ENSG00000183049
CDC123	ENSG00000151465
CENPT	ENSG00000102901
CLCN6	ENSG00000011021
CPLX3	ENSG00000213578
CTRL	ENSG00000141086
CYFIP2	ENSG00000055163
CYP26A1	ENSG00000095596
DCAKD	ENSG00000172992
DDX28	ENSG00000182810
DHTKD1	ENSG00000181192
DPEP2	ENSG00000167261
DPEP3	ENSG00000141096
DUS2L	ENSG00000167264
DYNC2LI1	ENSG00000138036
ECHDC3	ENSG00000134463
EDC4	ENSG00000038358
FAM177B	ENSG00000197520
FAM71B	ENSG00000170613
FGF5	ENSG00000138675
FOLH1	ENSG00000086205
GALNT2	ENSG00000143641
GFOD2	ENSG00000141098
GNGT2	ENSG00000167083
HAVCR1	ENSG00000113249
HAVCR2	ENSG00000135077
HEXIM1	ENSG00000186834
HEXIM2	ENSG00000168517
HHEX	ENSG00000152804
IGF2BP2	ENSG00000073792
ITK	ENSG00000113263
ITSN1	ENSG00000205726
JAZF1	ENSG00000153814
KCNJ11	ENSG00000187486
KCNQ1	ENSG00000053918
KCTD10	ENSG00000110906
KIF11	ENSG00000138160
LCAT	ENSG00000213398
LRPPRC	ENSG00000138095
MAN2B2	ENSG00000013288
MARCH2	ENSG00000099785
MARCH5	ENSG00000198060
MED7	ENSG00000155868
MIA3	ENSG00000154305
MMAB	ENSG00000139428
MTHFR	ENSG00000177000
MVK	ENSG00000110921
MYO1H	ENSG00000174527
NFATC3	ENSG00000072736
NRN1L	ENSG00000188038
NUCB2	ENSG00000070081
NUTF2	ENSG00000102898
OR13C3	ENSG00000204246
OR4A47	ENSG00000237388
OR4B1	ENSG00000175619
OR4S1	ENSG00000176555
OR4X1	ENSG00000176567
PARD6A	ENSG00000102981
PCIF1	ENSG00000100982
PCSK9	ENSG00000169174
PHOSPHO1	ENSG00000173868
PLA2G15	ENSG00000103066
PLCD3	ENSG00000161714
PLEKHH2	ENSG00000152527
PLTP	ENSG00000100979
PPP2R2C	ENSG00000074211
PSKH1	ENSG00000159792
PSMB10	ENSG00000205220
PTPRJ	ENSG00000149177
RAB11B	ENSG00000185236
RANBP10	ENSG00000141084
RLTPR	ENSG00000159753
SLC12A5	ENSG00000124140
THADA	ENSG00000115970
THAP11	ENSG00000168286
TIMD4	ENSG00000145850
TRAK1	ENSG00000182606
TSNAXIP1	ENSG00000102904
TTC39B	ENSG00000155158
UBE3B	ENSG00000151148
ULK4	ENSG00000168038
UPF2	ENSG00000151461
WFS1	ENSG00000109501
ZFP36L2	ENSG00000152518
ZNF335	ENSG00000198026
ZNF652	ENSG00000198740
CTSH	ENSG00000103811
LIPA	ENSG00000107798
MORF4L1	ENSG00000185787
ABI2	ENSG00000138443
ALS2CR8	ENSG00000138380
ANKS1A	ENSG00000064999
C6orf106	ENSG00000196821
COPS3	ENSG00000141030
CYP20A1	ENSG00000119004
DNM2	ENSG00000079805
HHIPL1	ENSG00000182218
ICA1L	ENSG00000163596
MAP3K4	ENSG00000085511
MPRIP	ENSG00000133030
NBEAL1	ENSG00000144426
PEMT	ENSG00000133027
PLD6	ENSG00000179598
RAI1	ENSG00000108557
RAPH1	ENSG00000173166
RASD1	ENSG00000108551
SREBF1	ENSG00000072310
TCF21	ENSG00000118526
TCP11	ENSG00000124678
WDR12	ENSG00000138442
ZC3HC1	ENSG00000091732
ZNF76	ENSG00000065029
COL4A1	ENSG00000187498
COL4A2	ENSG00000134871
PPAP2B	ENSG00000162407
C4orf6	ENSG00000082929
EVC	ENSG00000072840
HSP90B1	ENSG00000166598
MSX1	ENSG00000163132
STK32B	ENSG00000152953
ALDH2	ENSG00000111275
IP6K3	ENSG00000161896
ITPR3	ENSG00000096433
KIAA0319	ENSG00000137261
LEMD2	ENSG00000161904
MLN	ENSG00000096395
SST	ENSG00000157005
TUSC3	ENSG00000104723
UHRF1BP1	ENSG00000065060
GALNT4	ENSG00000257594
TCTN1	ENSG00000204852
AMBP	ENSG00000106927
KIF12	ENSG00000136883
POLR3B	ENSG00000013503
SRRM4	ENSG00000139767
SVEP1	ENSG00000165124
TCP11L2	ENSG00000166046
GPCPD1	ENSG00000125772
EPSTI1	ENSG00000133106
PRNP	ENSG00000171867
AC007319.1	ENSG00000224063
ANXA3	ENSG00000138772
ARHGEF25	ENSG00000240771
C1orf109	ENSG00000116922
CALCRL	ENSG00000064989
CDCA8	ENSG00000134690
CTDSP2	ENSG00000175215
FRAS1	ENSG00000138759
INPP5K	ENSG00000132376
MANEAL	ENSG00000185090
MBOAT2	ENSG00000143797
MUSK	ENSG00000030304
MYO1B	ENSG00000128641
NUP107	ENSG00000111581
PAQR3	ENSG00000163291
SERPINF2	ENSG00000167711
STAT1	ENSG00000115415
TFPI	ENSG00000003436
TSFM	ENSG00000123297
XRCC6BP1	ENSG00000166896
C1orf141	ENSG00000203963
CYCS	ENSG00000172115
OSBPL3	ENSG00000070882
AMIGO3	ENSG00000176020
ATRIP	ENSG00000164053
BRD7	ENSG00000166164
CAMKV	ENSG00000164076
CCDC36	ENSG00000173421
CCDC71	ENSG00000177352
CDHR4	ENSG00000187492
GMPPB	ENSG00000173540
HYAL1	ENSG00000114378
HYAL3	ENSG00000186792
IMPDH2	ENSG00000178035
MON1A	ENSG00000164077
NCKIPSD	ENSG00000213672
NDUFAF3	ENSG00000178057
P4HTM	ENSG00000178467
RBM6	ENSG00000004534
TEX9	ENSG00000151575
TRAIP	ENSG00000183763
UBA7	ENSG00000182179
APC2	ENSG00000115266
C19orf24	ENSG00000228300
GPX4	ENSG00000167468
NDUFS7	ENSG00000115286
SBNO2	ENSG00000064932
SEMA6A	ENSG00000092421
STMN3	ENSG00000197457
TNFRSF6B	ENSG00000243509
ADAM15	ENSG00000143537
ADCY7	ENSG00000121281
ARFGAP1	ENSG00000101199
ARFRP1	ENSG00000101246
ASB13	ENSG00000196372
ASH1L	ENSG00000116539
BAD	ENSG00000002330
BOLL	ENSG00000152430
C20orf195	ENSG00000125531
CAMTA1	ENSG00000171735
CARD6	ENSG00000132357
CARD9	ENSG00000187796
CCDC114	ENSG00000105479
CCDC88B	ENSG00000168071
CCL11	ENSG00000172156
CCL2	ENSG00000108691
CCL7	ENSG00000108688
CISD1	ENSG00000122873
CLK2	ENSG00000176444
COQ10B	ENSG00000115520
CPEB4	ENSG00000113742
CYLD	ENSG00000083799
DAP3	ENSG00000132676
DNLZ	ENSG00000213221
DTNB	ENSG00000138101
EFNA1	ENSG00000169242
ESRRA	ENSG00000173153
FAM189B	ENSG00000160767
FDPS	ENSG00000160752
FKBP2	ENSG00000173486
FLRT1	ENSG00000126500
GBA	ENSG00000177628
GON4L	ENSG00000116580
GPR137	ENSG00000173264
GPSM1	ENSG00000160360
HCN3	ENSG00000143630
HORMAD2	ENSG00000176635
HSPD1	ENSG00000144381
HSPE1	ENSG00000115541
IL15RA	ENSG00000134470
INPP5E	ENSG00000148384
IPMK	ENSG00000151151
KEAP1	ENSG00000079999
LCN10	ENSG00000187922
LCN15	ENSG00000177984
LCN8	ENSG00000204001
LIME1	ENSG00000203896
LMNA	ENSG00000160789
MARS2	ENSG00000247626
MSTO1	ENSG00000125459
MTMR3	ENSG00000100330
MTX1	ENSG00000173171
NOD2	ENSG00000167207
NPBWR2	ENSG00000125522
NUCB1	ENSG00000104805
OPRL1	ENSG00000125510
