MSH	ensembl_id	lApprovedUS.EU	Phase.Latest	First.Added	NelsonStatus	symbol
Carcinoma, Non-Small-Cell Lung	ENSG00000138685	FALSE	unknown	1993-05-15	Absent	FGF2
Carcinoma, Non-Small-Cell Lung	ENSG00000138735	FALSE	unknown	1994-12-15	Unused	PDE5A
Carcinoma, Non-Small-Cell Lung	ENSG00000138755	FALSE	Preclinical	2005-01-27	Unused	CXCL9
Carcinoma, Non-Small-Cell Lung	ENSG00000138798	FALSE	Approved	1996-05-15	Unused	EGF
Carcinoma, Non-Small-Cell Lung	ENSG00000139193	FALSE	Phase II Clinical Trial	2008-11-12	Absent	CD27
Carcinoma, Non-Small-Cell Lung	ENSG00000140443	FALSE	Phase II Clinical Trial	2003-06-03	Phase II Clinical Trial	IGF1R
Carcinoma, Non-Small-Cell Lung	ENSG00000140538	FALSE	Phase III Clinical Trial	2009-05-20	Absent	NTRK3
Carcinoma, Non-Small-Cell Lung	ENSG00000140545	FALSE	unknown	1997-04-15	Unused	MFGE8
Carcinoma, Non-Small-Cell Lung	ENSG00000141510	FALSE	Preclinical	1993-10-15	Unused	TP53
Carcinoma, Non-Small-Cell Lung	ENSG00000141736	TRUE	Approved	1990-09-15	Approved	ERBB2
Carcinoma, Non-Small-Cell Lung	ENSG00000141867	FALSE	Phase II Clinical Trial	2003-09-05	Absent	BRD4
Carcinoma, Non-Small-Cell Lung	ENSG00000142208	FALSE	Phase II Clinical Trial	1992-08-15	Phase II Clinical Trial	AKT1
Carcinoma, Non-Small-Cell Lung	ENSG00000142627	FALSE	Phase III Clinical Trial	2006-09-11	Unused	EPHA2
Carcinoma, Non-Small-Cell Lung	ENSG00000143171	FALSE	Phase III Clinical Trial	1992-09-15	Unused	RXRG
Carcinoma, Non-Small-Cell Lung	ENSG00000143217	FALSE	Phase I Clinical Trial	2004-10-18	Absent	NECTIN4
Carcinoma, Non-Small-Cell Lung	ENSG00000143226	FALSE	Phase II Clinical Trial	NA	Absent	FCGR2A
Carcinoma, Non-Small-Cell Lung	ENSG00000143365	FALSE	Phase II Clinical Trial	2014-11-11	Absent	RORC
Carcinoma, Non-Small-Cell Lung	ENSG00000143384	FALSE	Phase II Clinical Trial	1997-01-15	Phase II Clinical Trial	MCL1
Carcinoma, Non-Small-Cell Lung	ENSG00000143799	FALSE	Phase III Clinical Trial	2000-06-26	Phase III Clinical Trial	PARP1
Carcinoma, Non-Small-Cell Lung	ENSG00000145545	FALSE	Phase II Clinical Trial	2016-10-25	Absent	SRD5A1
Carcinoma, Non-Small-Cell Lung	ENSG00000146242	FALSE	Phase I Clinical Trial	1998-09-15	Unused	TPBG
Carcinoma, Non-Small-Cell Lung	ENSG00000146648	TRUE	Approved	1990-05-15	Approved	EGFR
Carcinoma, Non-Small-Cell Lung	ENSG00000146674	FALSE	Phase I Clinical Trial	2008-01-04	Unused	IGFBP3
Carcinoma, Non-Small-Cell Lung	ENSG00000147381	FALSE	Preclinical	2007-03-19	Unused	MAGEA4
Carcinoma, Non-Small-Cell Lung	ENSG00000148053	FALSE	Phase II Clinical Trial	2009-05-20	Absent	NTRK2
Carcinoma, Non-Small-Cell Lung	ENSG00000149269	FALSE	Phase I Clinical Trial	2009-07-13	Absent	PAK1
Carcinoma, Non-Small-Cell Lung	ENSG00000149295	FALSE	Phase II Clinical Trial	1995-09-15	Unused	DRD2
Carcinoma, Non-Small-Cell Lung	ENSG00000149554	FALSE	Phase II Clinical Trial	1991-09-15	Phase II Clinical Trial	CHEK1
Carcinoma, Non-Small-Cell Lung	ENSG00000149968	FALSE	unknown	1997-01-15	Unused	MMP3
Carcinoma, Non-Small-Cell Lung	ENSG00000150093	FALSE	Phase II Clinical Trial	2000-02-02	Phase II Clinical Trial	ITGB1
Carcinoma, Non-Small-Cell Lung	ENSG00000150337	FALSE	Phase II Clinical Trial	NA	Absent	FCGR1A
Carcinoma, Non-Small-Cell Lung	ENSG00000151247	FALSE	unknown	2004-09-22	Phase II Clinical Trial	EIF4E
Carcinoma, Non-Small-Cell Lung	ENSG00000151617	FALSE	Phase II Clinical Trial	2002-11-12	Phase II Clinical Trial	EDNRA
Carcinoma, Non-Small-Cell Lung	ENSG00000151694	FALSE	unknown	2003-09-17	Unused	ADAM17
Carcinoma, Non-Small-Cell Lung	ENSG00000153208	FALSE	Phase I Clinical Trial	2012-12-21	Absent	MERTK
Carcinoma, Non-Small-Cell Lung	ENSG00000154188	FALSE	Phase II Clinical Trial	2004-03-24	Phase II Clinical Trial	ANGPT1
Carcinoma, Non-Small-Cell Lung	ENSG00000154229	FALSE	Preclinical	1991-01-15	Unused	PRKCA
Carcinoma, Non-Small-Cell Lung	ENSG00000155760	FALSE	Phase I Clinical Trial	2010-06-19	Absent	FZD7
Carcinoma, Non-Small-Cell Lung	ENSG00000156508	FALSE	unknown	1994-03-15	Phase II Clinical Trial	EEF1A1
Carcinoma, Non-Small-Cell Lung	ENSG00000157036	FALSE	unknown	2009-12-08	Phase II Clinical Trial	EXOG
Carcinoma, Non-Small-Cell Lung	ENSG00000157404	FALSE	Phase III Clinical Trial	2000-07-05	Phase III Clinical Trial	KIT
Carcinoma, Non-Small-Cell Lung	ENSG00000157764	TRUE	Approved	2001-04-03	Phase II Clinical Trial	BRAF
Carcinoma, Non-Small-Cell Lung	ENSG00000157765	FALSE	Phase I Clinical Trial	2011-06-03	Absent	SLC34A2
Carcinoma, Non-Small-Cell Lung	ENSG00000159110	FALSE	unknown	NA	Unused	IFNAR2
Carcinoma, Non-Small-Cell Lung	ENSG00000159131	TRUE	Approved	1990-07-15	Approved	GART
Carcinoma, Non-Small-Cell Lung	ENSG00000160867	FALSE	Phase II Clinical Trial	2003-07-22	Absent	FGFR4
Carcinoma, Non-Small-Cell Lung	ENSG00000160932	FALSE	Phase I Clinical Trial	2014-03-18	Absent	LY6E
Carcinoma, Non-Small-Cell Lung	ENSG00000161638	FALSE	Phase II Clinical Trial	2000-02-02	Phase II Clinical Trial	ITGA5
Carcinoma, Non-Small-Cell Lung	ENSG00000162434	FALSE	Phase II Clinical Trial	2006-11-24	Absent	JAK1
Carcinoma, Non-Small-Cell Lung	ENSG00000162747	FALSE	Phase II Clinical Trial	NA	Absent	FCGR3B
Carcinoma, Non-Small-Cell Lung	ENSG00000163399	FALSE	Preclinical	2011-01-25	Absent	ATP1A1
Carcinoma, Non-Small-Cell Lung	ENSG00000163464	FALSE	Preclinical	2005-01-27	Unused	CXCR1
Carcinoma, Non-Small-Cell Lung	ENSG00000163517	FALSE	Phase II Clinical Trial	NA	Phase I Clinical Trial	HDAC11
Carcinoma, Non-Small-Cell Lung	ENSG00000163558	FALSE	Preclinical	2015-03-24	Absent	PRKCI
Carcinoma, Non-Small-Cell Lung	ENSG00000163599	FALSE	Phase III Clinical Trial	1998-09-15	Phase III Clinical Trial	CTLA4
Carcinoma, Non-Small-Cell Lung	ENSG00000163600	FALSE	Phase II Clinical Trial	2013-02-26	Absent	ICOS
Carcinoma, Non-Small-Cell Lung	ENSG00000163823	FALSE	Phase I Clinical Trial	2007-06-13	Unused	CCR1
Carcinoma, Non-Small-Cell Lung	ENSG00000164078	FALSE	Phase II Clinical Trial	2001-12-18	Approved	MST1R
Carcinoma, Non-Small-Cell Lung	ENSG00000164305	FALSE	Phase II Clinical Trial	1994-07-15	Unused	CASP3
Carcinoma, Non-Small-Cell Lung	ENSG00000164342	FALSE	Preclinical	NA	Absent	TLR3
Carcinoma, Non-Small-Cell Lung	ENSG00000164362	FALSE	Phase II Clinical Trial	2002-06-26	Phase II Clinical Trial	TERT
Carcinoma, Non-Small-Cell Lung	ENSG00000164400	FALSE	Phase II Clinical Trial	1991-12-15	Unused	CSF2
Carcinoma, Non-Small-Cell Lung	ENSG00000164885	FALSE	Phase II Clinical Trial	2005-03-14	Phase II Clinical Trial	CDK5
Carcinoma, Non-Small-Cell Lung	ENSG00000165025	FALSE	Phase I Clinical Trial	2003-10-31	Phase II Clinical Trial	SYK
Carcinoma, Non-Small-Cell Lung	ENSG00000165675	FALSE	Phase II Clinical Trial	2016-10-25	Absent	ENOX2
Carcinoma, Non-Small-Cell Lung	ENSG00000165731	FALSE	Phase III Clinical Trial	1994-06-15	Phase III Clinical Trial	RET
Carcinoma, Non-Small-Cell Lung	ENSG00000166483	FALSE	Phase II Clinical Trial	2008-04-09	Absent	WEE1
Carcinoma, Non-Small-Cell Lung	ENSG00000166501	FALSE	Phase II Clinical Trial	2001-07-03	Phase II Clinical Trial	PRKCB
Carcinoma, Non-Small-Cell Lung	ENSG00000166825	FALSE	Phase II Clinical Trial	2003-02-20	Phase II Clinical Trial	ANPEP
Carcinoma, Non-Small-Cell Lung	ENSG00000166851	FALSE	Phase II Clinical Trial	2002-05-27	Phase II Clinical Trial	PLK1
Carcinoma, Non-Small-Cell Lung	ENSG00000167325	FALSE	Phase I Clinical Trial	1991-07-15	Unused	RRM1
Carcinoma, Non-Small-Cell Lung	ENSG00000167601	FALSE	Phase II Clinical Trial	2004-06-18	Absent	AXL
Carcinoma, Non-Small-Cell Lung	ENSG00000167658	FALSE	Phase II Clinical Trial	1990-05-15	Unused	EEF2
Carcinoma, Non-Small-Cell Lung	ENSG00000168398	FALSE	Preclinical	2008-06-03	Unused	BDKRB2
Carcinoma, Non-Small-Cell Lung	ENSG00000168522	FALSE	Phase II Clinical Trial	1996-01-15	Unused	FNTA
Carcinoma, Non-Small-Cell Lung	ENSG00000168610	FALSE	Phase III Clinical Trial	2010-05-18	Phase I Clinical Trial	STAT3
Carcinoma, Non-Small-Cell Lung	ENSG00000168685	FALSE	Preclinical	2017-06-12	Absent	IL7R
Carcinoma, Non-Small-Cell Lung	ENSG00000169032	TRUE	Approved	1999-04-14	Phase II Clinical Trial	MAP2K1
Carcinoma, Non-Small-Cell Lung	ENSG00000169398	FALSE	Phase II Clinical Trial	2008-11-11	Unused	PTK2
Carcinoma, Non-Small-Cell Lung	ENSG00000169403	FALSE	Preclinical	2008-01-22	Unused	PTAFR
Carcinoma, Non-Small-Cell Lung	ENSG00000169710	FALSE	Phase I Clinical Trial	2009-09-18	Absent	FASN
Carcinoma, Non-Small-Cell Lung	ENSG00000169925	FALSE	Phase II Clinical Trial	2012-06-18	Absent	BRD3
Carcinoma, Non-Small-Cell Lung	ENSG00000170017	FALSE	Phase II Clinical Trial	2013-09-10	Absent	ALCAM
Carcinoma, Non-Small-Cell Lung	ENSG00000170312	FALSE	Phase II Clinical Trial	2005-03-14	Phase II Clinical Trial	CDK1
Carcinoma, Non-Small-Cell Lung	ENSG00000170425	FALSE	Preclinical	2015-05-27	Absent	ADORA2B
Carcinoma, Non-Small-Cell Lung	ENSG00000170558	FALSE	unknown	1999-06-30	Unused	CDH2
Carcinoma, Non-Small-Cell Lung	ENSG00000170820	FALSE	Preclinical	2012-09-18	Absent	FSHR
Carcinoma, Non-Small-Cell Lung	ENSG00000171094	TRUE	Approved	2006-12-05	Approved	ALK
Carcinoma, Non-Small-Cell Lung	ENSG00000171552	FALSE	unknown	2005-11-21	Phase II Clinical Trial	BCL2L1
Carcinoma, Non-Small-Cell Lung	ENSG00000171608	FALSE	Phase II Clinical Trial	2003-09-05	Phase II Clinical Trial	PIK3CD
Carcinoma, Non-Small-Cell Lung	ENSG00000171720	FALSE	Phase II Clinical Trial	NA	Phase I Clinical Trial	HDAC3
Carcinoma, Non-Small-Cell Lung	ENSG00000171791	FALSE	unknown	1992-03-15	Phase II Clinical Trial	BCL2
Carcinoma, Non-Small-Cell Lung	ENSG00000171848	FALSE	unknown	1991-07-15	Unused	RRM2
Carcinoma, Non-Small-Cell Lung	ENSG00000171862	FALSE	unknown	2005-08-22	Phase II Clinical Trial	PTEN
Carcinoma, Non-Small-Cell Lung	ENSG00000172270	FALSE	Phase I Clinical Trial	2015-01-08	Absent	BSG
Carcinoma, Non-Small-Cell Lung	ENSG00000172819	FALSE	unknown	2002-06-26	Unused	RARG
Carcinoma, Non-Small-Cell Lung	ENSG00000172889	FALSE	Phase II Clinical Trial	NA	Phase II Clinical Trial	EGFL7
Carcinoma, Non-Small-Cell Lung	ENSG00000173083	FALSE	unknown	1997-09-15	Unused	HPSE
Carcinoma, Non-Small-Cell Lung	ENSG00000173153	FALSE	Preclinical	2006-09-15	Preclinical	ESRRA
Carcinoma, Non-Small-Cell Lung	ENSG00000173638	FALSE	unknown	NA	Unused	SLC19A1
Carcinoma, Non-Small-Cell Lung	ENSG00000174775	FALSE	Preclinical	2007-07-24	Unused	HRAS
Carcinoma, Non-Small-Cell Lung	ENSG00000174807	FALSE	unknown	2004-10-18	Unused	CD248
Carcinoma, Non-Small-Cell Lung	ENSG00000175054	FALSE	Phase I Clinical Trial	2013-07-22	Absent	ATR
Carcinoma, Non-Small-Cell Lung	ENSG00000176105	FALSE	Phase II Clinical Trial	2004-07-20	Phase II Clinical Trial	YES1
Carcinoma, Non-Small-Cell Lung	ENSG00000176601	FALSE	Preclinical	2017-05-12	Absent	MAP3K19
Carcinoma, Non-Small-Cell Lung	ENSG00000176890	TRUE	Approved	1991-10-15	Approved	TYMS
Carcinoma, Non-Small-Cell Lung	ENSG00000177606	FALSE	Phase II Clinical Trial	2007-10-08	Unused	JUN
Carcinoma, Non-Small-Cell Lung	ENSG00000178562	FALSE	Phase II Clinical Trial	2008-02-13	Unused	CD28
Carcinoma, Non-Small-Cell Lung	ENSG00000178568	FALSE	Phase III Clinical Trial	2002-05-30	Phase III Clinical Trial	ERBB4
Carcinoma, Non-Small-Cell Lung	ENSG00000178999	FALSE	Phase II Clinical Trial	2003-01-24	Phase II Clinical Trial	AURKB
Carcinoma, Non-Small-Cell Lung	ENSG00000179295	FALSE	Phase I Clinical Trial	2017-04-17	Absent	PTPN11
Carcinoma, Non-Small-Cell Lung	ENSG00000179776	FALSE	unknown	2000-12-11	Unused	CDH5
Carcinoma, Non-Small-Cell Lung	ENSG00000180210	FALSE	Phase III Clinical Trial	NA	Unused	F2
Carcinoma, Non-Small-Cell Lung	ENSG00000180616	FALSE	Phase I Clinical Trial	1999-09-02	Absent	SSTR2
Carcinoma, Non-Small-Cell Lung	ENSG00000180871	FALSE	Preclinical	2005-01-27	Unused	CXCR2
Carcinoma, Non-Small-Cell Lung	ENSG00000182578	FALSE	Phase II Clinical Trial	2005-04-26	Phase II Clinical Trial	CSF1R
Carcinoma, Non-Small-Cell Lung	ENSG00000182866	FALSE	Phase II Clinical Trial	2004-07-20	Phase II Clinical Trial	LCK
Carcinoma, Non-Small-Cell Lung	ENSG00000182871	FALSE	Approved	NA	Unused	COL18A1
Carcinoma, Non-Small-Cell Lung	ENSG00000183765	FALSE	Phase I Clinical Trial	2010-03-02	Phase II Clinical Trial	CHEK2
Carcinoma, Non-Small-Cell Lung	ENSG00000183813	FALSE	Phase I Clinical Trial	2003-05-20	Absent	CCR4
Carcinoma, Non-Small-Cell Lung	ENSG00000184033	FALSE	Phase II Clinical Trial	2004-05-24	Phase II Clinical Trial	CTAG1B
Carcinoma, Non-Small-Cell Lung	ENSG00000184047	FALSE	Phase I Clinical Trial	2005-11-21	Absent	DIABLO
Carcinoma, Non-Small-Cell Lung	ENSG00000184292	FALSE	Phase II Clinical Trial	2007-11-12	Absent	TACSTD2
Carcinoma, Non-Small-Cell Lung	ENSG00000184371	FALSE	Phase II Clinical Trial	2010-08-09	Phase I Clinical Trial	CSF1
Carcinoma, Non-Small-Cell Lung	ENSG00000184697	FALSE	unknown	2011-02-25	Absent	CLDN6
Carcinoma, Non-Small-Cell Lung	ENSG00000184937	FALSE	Phase II Clinical Trial	2005-12-05	Phase III Clinical Trial	WT1
Carcinoma, Non-Small-Cell Lung	ENSG00000185483	FALSE	Phase I Clinical Trial	2015-01-02	Absent	ROR1
Carcinoma, Non-Small-Cell Lung	ENSG00000185499	FALSE	Phase III Clinical Trial	1992-07-15	Phase III Clinical Trial	MUC1
Carcinoma, Non-Small-Cell Lung	ENSG00000185686	FALSE	Phase II Clinical Trial	2010-07-16	Phase I Clinical Trial	PRAME
Carcinoma, Non-Small-Cell Lung	ENSG00000185825	FALSE	Preclinical	2001-09-24	Unused	BCAP31
Carcinoma, Non-Small-Cell Lung	ENSG00000186350	FALSE	Phase III Clinical Trial	1992-09-15	Unused	RXRA
Carcinoma, Non-Small-Cell Lung	ENSG00000186642	FALSE	unknown	1994-12-15	Unused	PDE2A
Carcinoma, Non-Small-Cell Lung	ENSG00000186716	FALSE	Phase II Clinical Trial	2003-01-13	Phase II Clinical Trial	BCR
Carcinoma, Non-Small-Cell Lung	ENSG00000186827	FALSE	unknown	2014-08-23	Absent	TNFRSF4
Carcinoma, Non-Small-Cell Lung	ENSG00000187079	FALSE	Preclinical	2014-11-05	Absent	TEAD1
Carcinoma, Non-Small-Cell Lung	ENSG00000187498	FALSE	unknown	2005-05-13	Unused	COL4A1
Carcinoma, Non-Small-Cell Lung	ENSG00000187514	FALSE	Phase II Clinical Trial	NA	Unused	PTMA
Carcinoma, Non-Small-Cell Lung	ENSG00000187764	FALSE	Phase II Clinical Trial	2006-06-20	Absent	SEMA4D
Carcinoma, Non-Small-Cell Lung	ENSG00000188389	TRUE	Approved	2005-05-12	Phase III Clinical Trial	PDCD1
Carcinoma, Non-Small-Cell Lung	ENSG00000188641	FALSE	Approved	2012-06-07	Absent	DPYD
Carcinoma, Non-Small-Cell Lung	ENSG00000196083	FALSE	Phase II Clinical Trial	NA	Absent	IL1RAP
Carcinoma, Non-Small-Cell Lung	ENSG00000196352	FALSE	Phase II Clinical Trial	2004-07-19	Absent	CD55
Carcinoma, Non-Small-Cell Lung	ENSG00000196411	FALSE	Phase II Clinical Trial	2003-08-12	Phase III Clinical Trial	EPHB4
Carcinoma, Non-Small-Cell Lung	ENSG00000196591	FALSE	Phase II Clinical Trial	2002-06-10	Phase II Clinical Trial	HDAC2
Carcinoma, Non-Small-Cell Lung	ENSG00000197122	FALSE	Phase II Clinical Trial	2002-11-12	Phase III Clinical Trial	SRC
Carcinoma, Non-Small-Cell Lung	ENSG00000198223	FALSE	unknown	1994-08-15	Phase III Clinical Trial	CSF2RA
Carcinoma, Non-Small-Cell Lung	ENSG00000198355	FALSE	Preclinical	2013-06-12	Absent	PIM3
Carcinoma, Non-Small-Cell Lung	ENSG00000198400	FALSE	Phase II Clinical Trial	2007-02-06	Phase I Clinical Trial	NTRK1
Carcinoma, Non-Small-Cell Lung	ENSG00000198668	FALSE	Phase II Clinical Trial	2003-12-09	Absent	CALM1
Carcinoma, Non-Small-Cell Lung	ENSG00000198681	FALSE	Preclinical	2016-10-07	Absent	MAGEA1
Carcinoma, Non-Small-Cell Lung	ENSG00000198793	FALSE	Phase II Clinical Trial	1997-08-15	Phase II Clinical Trial	MTOR
Carcinoma, Non-Small-Cell Lung	ENSG00000198851	FALSE	Phase II Clinical Trial	2016-09-13	Absent	CD3E
Carcinoma, Non-Small-Cell Lung	ENSG00000198900	FALSE	Phase III Clinical Trial	1990-07-15	Phase III Clinical Trial	TOP1
Carcinoma, Non-Small-Cell Lung	ENSG00000198964	FALSE	unknown	2008-11-07	Absent	SGMS1
Carcinoma, Non-Small-Cell Lung	ENSG00000203747	FALSE	Phase II Clinical Trial	NA	Absent	FCGR3A
Carcinoma, Non-Small-Cell Lung	ENSG00000213281	FALSE	Preclinical	2007-07-24	Preclinical	NRAS
Carcinoma, Non-Small-Cell Lung	ENSG00000213903	FALSE	unknown	1993-10-15	Unused	LTB4R
Carcinoma, Non-Small-Cell Lung	ENSG00000221867	FALSE	Phase II Clinical Trial	1998-07-15	Phase III Clinical Trial	MAGEA3
Carcinoma, Non-Small-Cell Lung	ENSG00000228716	TRUE	Approved	1992-06-15	Approved	DHFR
Carcinoma, Non-Small-Cell Lung	ENSG00000239732	FALSE	Phase III Clinical Trial	1998-10-15	Phase II Clinical Trial	TLR9
Carcinoma, Non-Small-Cell Lung	ENSG00000243772	FALSE	Phase II Clinical Trial	2011-03-02	Phase I Clinical Trial	KIR2DL3
Carcinoma, Non-Small-Cell Lung	ENSG00000243955	FALSE	Phase II Clinical Trial	1994-07-15	Unused	GSTA1
Carcinoma, Non-Small-Cell Lung	ENSG00000253729	FALSE	Phase II Clinical Trial	1999-03-31	Unused	PRKDC
Carcinoma, Non-Small-Cell Lung	ENSG00000254087	TRUE	Approved	2001-10-30	Phase III Clinical Trial	LYN
Carcinoma, Non-Small-Cell Lung	ENSG00000258947	FALSE	Preclinical	2009-02-10	Unused	TUBB3
Carcinoma, Non-Small-Cell Lung	ENSG00000259207	FALSE	Phase II Clinical Trial	1998-06-15	Phase II Clinical Trial	ITGB3
Carcinoma, Non-Small-Cell Lung	ENSG00000277443	FALSE	Preclinical	NA	Absent	MARCKS
Carcinoma, Non-Small-Cell Lung	ENSG00000278540	FALSE	Preclinical	2014-04-05	Absent	ACACA
Carcinoma, Renal Cell	ENSG00000100644	FALSE	Phase I Clinical Trial	2013-11-05	Absent	HIF1A
Carcinoma, Renal Cell	ENSG00000105697	FALSE	Phase II Clinical Trial	2010-02-17	Absent	HAMP
Carcinoma, Renal Cell	ENSG00000115590	FALSE	Phase II Clinical Trial	1995-08-15	Phase II Clinical Trial	IL1R2
Carcinoma, Renal Cell	ENSG00000115594	FALSE	Phase II Clinical Trial	1995-08-15	Phase II Clinical Trial	IL1R1
Carcinoma, Renal Cell	ENSG00000129521	FALSE	Phase III Clinical Trial	2008-09-16	Absent	EGLN3
Carcinoma, Renal Cell	ENSG00000130427	FALSE	Phase I Clinical Trial	1996-09-15	Unused	EPO
Carcinoma, Renal Cell	ENSG00000139567	FALSE	unknown	2009-01-15	Phase I Clinical Trial	ACVRL1
Carcinoma, Renal Cell	ENSG00000153162	FALSE	Phase II Clinical Trial	2013-04-25	Absent	BMP6
Carcinoma, Renal Cell	ENSG00000167941	FALSE	Phase II Clinical Trial	2011-08-12	Absent	SOST
Carcinoma, Renal Cell	ENSG00000171791	FALSE	unknown	2001-05-30	Phase II Clinical Trial	BCL2
Carcinoma, Renal Cell	ENSG00000187266	TRUE	Approved	1991-03-15	Approved	EPOR
Carcinoma, Renal Cell	ENSG00000198223	FALSE	Preclinical	1997-09-15	Unused	CSF2RA
Carcinoma, Renal Cell	ENSG00000269858	FALSE	Phase III Clinical Trial	2003-07-02	Phase II Clinical Trial	EGLN2
Carcinoma, Squamous Cell	ENSG00000121879	FALSE	Phase I Clinical Trial	NA	Absent	PIK3CA
Carcinoma, Squamous Cell	ENSG00000141867	FALSE	Phase II Clinical Trial	2012-06-18	Absent	BRD4
Carcinoma, Squamous Cell	ENSG00000169925	FALSE	Phase II Clinical Trial	2012-06-18	Absent	BRD3
Carcinoma, Transitional Cell	ENSG00000112062	FALSE	unknown	2000-10-25	Unused	MAPK14
Carcinoma, Transitional Cell	ENSG00000138735	FALSE	unknown	2005-05-24	Unused	PDE5A
Cardiomyopathies	ENSG00000005961	FALSE	unknown	1996-12-15	Unused	ITGA2B
Cardiomyopathies	ENSG00000006638	FALSE	Preclinical	1997-06-15	Unused	TBXA2R
Cardiomyopathies	ENSG00000010322	FALSE	Preclinical	2006-11-03	Unused	NISCH
Cardiomyopathies	ENSG00000075388	FALSE	Preclinical	1998-01-15	Unused	FGF4
Cardiomyopathies	ENSG00000079459	FALSE	Preclinical	1995-05-15	Unused	FDFT1
Cardiomyopathies	ENSG00000112715	FALSE	Preclinical	1997-11-15	Unused	VEGFA
Cardiomyopathies	ENSG00000114812	FALSE	Phase I Clinical Trial	2010-11-16	Absent	VIPR1
Cardiomyopathies	ENSG00000116016	FALSE	Preclinical	2002-11-06	Unused	EPAS1
Cardiomyopathies	ENSG00000116329	FALSE	Preclinical	2002-07-02	Unused	OPRD1
Cardiomyopathies	ENSG00000117601	FALSE	unknown	1989-11-15	Unused	SERPINC1
Cardiomyopathies	ENSG00000118271	FALSE	Preclinical	2015-08-25	Absent	TTR
Cardiomyopathies	ENSG00000121361	FALSE	unknown	1997-12-15	Unused	KCNJ8
Cardiomyopathies	ENSG00000128271	FALSE	Preclinical	1999-04-28	Unused	ADORA2A
Cardiomyopathies	ENSG00000138685	FALSE	Preclinical	2000-12-07	Unused	FGF2
Cardiomyopathies	ENSG00000142168	FALSE	Phase II Clinical Trial	NA	Unused	SOD1
Cardiomyopathies	ENSG00000151067	FALSE	Approved	1999-09-14	Unused	CACNA1C
Cardiomyopathies	ENSG00000158828	FALSE	Preclinical	2015-03-18	Absent	PINK1
Cardiomyopathies	ENSG00000163485	FALSE	Preclinical	1995-05-15	Unused	ADORA1
Cardiomyopathies	ENSG00000173198	FALSE	Preclinical	1997-06-15	Unused	CYSLTR1
Cardiomyopathies	ENSG00000180210	FALSE	unknown	1991-02-15	Unused	F2
Cardiomyopathies	ENSG00000180772	FALSE	Preclinical	2015-11-12	Absent	AGTR2
Cardiomyopathies	ENSG00000184381	FALSE	Preclinical	1998-12-15	Unused	PLA2G6
Cardiomyopathies	ENSG00000187266	FALSE	Preclinical	2003-07-02	Unused	EPOR
Cardiomyopathies	ENSG00000187554	FALSE	Preclinical	2006-08-01	Preclinical	TLR5
Cardiomyopathies	ENSG00000204174	FALSE	Preclinical	2006-11-03	Absent	NPY4R
Cardiomyopathies	ENSG00000259207	FALSE	unknown	1996-12-15	Unused	ITGB3
Cardiomyopathies	ENSG00000269858	FALSE	Preclinical	2003-07-02	Unused	EGLN2
Cardiomyopathies	ENSG00000282608	FALSE	Preclinical	1999-04-28	Unused	ADORA3
Cardiomyopathy, Dilated	ENSG00000099822	FALSE	Preclinical	1993-10-15	Absent	HCN2
Cardiomyopathy, Dilated	ENSG00000112062	FALSE	Phase II Clinical Trial	2003-11-21	Absent	MAPK14
Cardiomyopathy, Dilated	ENSG00000135424	FALSE	Preclinical	NA	Preclinical	ITGA7
Cardiomyopathy, Dilated	ENSG00000138622	FALSE	Preclinical	1993-10-15	Absent	HCN4
Cardiomyopathy, Dilated	ENSG00000143630	FALSE	Preclinical	1993-10-15	Absent	HCN3
Cardiomyopathy, Dilated	ENSG00000152818	FALSE	Preclinical	NA	Preclinical	UTRN
Cardiomyopathy, Dilated	ENSG00000164588	FALSE	Preclinical	1993-10-15	Absent	HCN1
Cardiomyopathy, Dilated	ENSG00000173250	FALSE	Phase I Clinical Trial	2016-11-11	Absent	GPR151
Cardiomyopathy, Dilated	ENSG00000173402	FALSE	Preclinical	NA	Preclinical	DAG1
Cardiomyopathy, Dilated	ENSG00000198947	FALSE	Preclinical	NA	Preclinical	DMD
Cardiomyopathy, Hypertrophic	ENSG00000110090	FALSE	Phase II Clinical Trial	NA	Phase II Clinical Trial	CPT1A
Cardiomyopathy, Hypertrophic	ENSG00000126934	FALSE	unknown	2006-05-01	Phase II Clinical Trial	MAP2K2
Cardiomyopathy, Hypertrophic	ENSG00000157184	FALSE	Phase II Clinical Trial	NA	Phase II Clinical Trial	CPT2
Cardiomyopathy, Hypertrophic	ENSG00000169032	FALSE	unknown	2006-05-01	Phase II Clinical Trial	MAP2K1
Cardiovascular Diseases	ENSG00000005381	FALSE	Phase I Clinical Trial	2016-02-17	Absent	MPO
Cardiovascular Diseases	ENSG00000005961	FALSE	Preclinical	1991-11-15	Unused	ITGA2B
Cardiovascular Diseases	ENSG00000006638	FALSE	Preclinical	1989-06-15	Unused	TBXA2R
Cardiovascular Diseases	ENSG00000007171	FALSE	Preclinical	1995-11-15	Unused	NOS2
Cardiovascular Diseases	ENSG00000007908	FALSE	Preclinical	1992-03-15	Unused	SELE
Cardiovascular Diseases	ENSG00000007952	FALSE	Preclinical	2015-03-26	Absent	NOX1
Cardiovascular Diseases	ENSG00000012779	FALSE	Preclinical	2010-06-11	Unused	ALOX5
Cardiovascular Diseases	ENSG00000026103	FALSE	Preclinical	1999-10-05	Unused	FAS
