Original	UI	MSH
aicardi-goutieres syndrome 5		NA
alagille syndrome	D016738	Alagille Syndrome
aland island eye disease		NA
oculocutaneous albinism type 1		NA
oculocutaneous albinism type 1b		NA
oculocutaneous albinism type 3		NA
oculocutaneous albinism, type iv		NA
glucocorticoid-remediable aldosteronism		NA
alexander disease	D038261	Alexander Disease
alkaptonuria	D000474	Alkaptonuria
allan-herndon-dudley syndrome		NA
alopecia universalis		NA
alopecia, neurologic defects, and endocrinopathy syndrome		NA
anti-plasmin deficiency, congenital		NA
alpha-ketoglutarate dehydrogenase deficiency		NA
beta ketothiolase deficiency		NA
alpha-thalassemia myelodysplasia syndrome		NA
atr-x syndrome		NA
alpha/beta t-cell lymphopenia with gamma/delta t-cell expansion, severe cytomegalovirus infection, and autoimmunity		NA
alport syndrome, dominant type		NA
alport syndrome, recessive type		NA
alstrom syndrome	D056769	Alstrom Syndrome
alternating hemiplegia of childhood		NA
sarcoma, alveolar soft part	D018234	Sarcoma, Alveolar Soft Part
alzheimer disease type 2		NA
alzheimer disease type 4		NA
alzheimer disease, familial, 3, with spastic paraparesis and apraxia		NA
amelogenesis imperfecta, type iv		NA
amelogenesis imperfecta, hypomaturation type, iia3		NA
amelogenesis imperfecta, hypoplastic/hypomaturation, x-linked 1		NA
amelogenesis imperfecta, type iii		NA
amelogenesis imperfecta, type ib		NA
amelogenesis imperfecta, type ic		NA
amelogenesis imperfecta pigmented hypomaturation type		NA
amelogenesis imperfecta, hypomaturation type, iia2		NA
aminoacylase 1 deficiency		NA
amish infantile epilepsy syndrome		NA
amyloidosis, familial visceral		NA
meretoja syndrome		NA
amyloidosis, hereditary, transthyretin-related		NA
amyloidosis ix		NA
amyotrophic lateral sclerosis 11		NA
amyotrophic lateral sclerosis 2, juvenile		NA
amyotrophic lateral sclerosis 4, juvenile		NA
amyotrophic lateral sclerosis 6, autosomal recessive		NA
amyotrophic lateral sclerosis 8		NA
amyotrophic lateral sclerosis 9		NA
andersen syndrome	D050030	Andersen Syndrome
androgen-insensitivity syndrome	D013734	Androgen-Insensitivity Syndrome
anemia, dyserythropoietic, congenital	D000742	Anemia, Dyserythropoietic, Congenital
uridine 5-prime monophosphate hydrolase deficiency, hemolytic anemia due to		NA
rh-null, regulator type		NA
anemia, hypochromic microcytic, with iron overload		NA
anemia, sideroblastic, pyridoxine-refractory, autosomal recessive		NA
anemia, sideroblastic spinocerebellar ataxia		NA
x-linked sideroblastic anemia		NA
angelman syndrome	D017204	Angelman Syndrome
hereditary angioedema type iii	D056828	Hereditary Angioedema Type III
angioedemas, hereditary	D054179	Angioedemas, Hereditary
angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps		NA
anonychia congenita		NA
anterior segment mesenchymal dysgenesis		NA
aortic aneurysm, familial thoracic 4		NA
aortic aneurysm, familial thoracic 6		NA
aphakia, congenital primary		NA
aplasia of lacrimal and salivary glands		NA
hyperargininemia	D020162	Hyperargininemia
argininosuccinic aciduria	D056807	Argininosuccinic Aciduria
aromatase deficiency		NA
aromatic amino acid decarboxylase deficiency		NA
arrhythmogenic right ventricular dysplasia, familial, 1		NA
arrhythmogenic right ventricular dysplasia, familial, 10		NA
arrhythmogenic right ventricular dysplasia, familial, 11		NA
arrhythmogenic right ventricular dysplasia, familial, 12		NA
arrhythmogenic right ventricular dysplasia, familial, 2		NA
arrhythmogenic right ventricular dysplasia, familial, 8		NA
arrhythmogenic right ventricular dysplasia, familial, 9		NA
arterial calcification of infancy		NA
arterial tortuosity syndrome		NA
distal arthrogryposis type 2b		NA
freeman-sheldon syndrome		NA
lethal arthrogryposis with anterior horn cell disease		NA
arthrogryposis renal dysfunction cholestasis syndrome		NA
arts syndrome		NA
aspartylglucosaminuria	D054880	Aspartylglucosaminuria
asphyxiating thoracic dystrophy 2		NA
asphyxiating thoracic dystrophy 3	D012779	Short Rib-Polydactyly Syndrome
spinocerebellar ataxia, autosomal recessive 1		NA
ataxia telangiectasia	D001260	Ataxia Telangiectasia
ataxia with vitamin e deficiency		NA
cerebellar ataxia, cayman type		NA
early-onset ataxia with oculomotor apraxia and hypoalbuminemia		NA
posterior column ataxia with retinitis pigmentosa		NA
atelosteogenesis, type 1		NA
congenital atransferrinemia		NA
atrial fibrillation, familial, 3		NA
atrial fibrillation, familial, 4		NA
atrial fibrillation, familial, 6		NA
atrial fibrillation, familial, 7		NA
atrial septal defect 2		NA
atrial septal defect 4		NA
atrial septal defect 5		NA
atrial septal defect 6		NA
atrichia with papular lesions		NA
atypical mycobacteriosis, familial, x-linked 2		NA
auditory neuropathy, autosomal dominant, 1		NA
aural atresia, congenital		NA
auriculo-condylar syndrome		NA
autoimmune lymphoproliferative syndrome, type iia		NA
autoimmune polyendocrinopathy syndrome, type 1	D016884	Polyendocrinopathies, Autoimmune
femur head necrosis	D005271	Femur Head Necrosis
craniosynostosis radial aplasia syndrome		NA
bamforth syndrome		NA
bare lymphocyte syndrome 2		NA
knuckle pads, leuconychia and sensorineural deafness		NA
barth syndrome	D056889	Barth Syndrome
bartter syndrome, antenatal type 1		NA
bartter syndrome, antenatal , type 2		NA
bartter syndrome, type 3		NA
bartter syndrome, type 4b		NA
basal cell nevus syndrome	D001478	Basal Cell Nevus Syndrome
basal laminar drusen		NA
cutis gyrata syndrome of beare and stevenson		NA
beckwith-wiedemann syndrome	D001506	Beckwith-Wiedemann Syndrome
bernard-soulier syndrome	D001606	Bernard-Soulier Syndrome
vitelliform macular dystrophy	D057826	Vitelliform Macular Dystrophy
beta-ureidopropionase deficiency		NA
bethlem myopathy		NA
bietti's crystalline dystrophy		NA
bifid nose with or without anorectal and renal anomalies		NA
bile acid malabsorption, primary		NA
bile acid synthesis defect, congenital, 1		NA
bile acid synthesis defect, congenital, 2		NA
bile acid synthesis defect, congenital, 4		NA
biotinidase deficiency	D028921	Biotinidase Deficiency
birk-barel mental retardation dysmorphism syndrome		NA
birt-hogg-dube syndrome	D058249	Birt-Hogg-Dube Syndrome
bjornstad syndrome		NA
synovitis granulomatous with uveitis and cranial neuropathies		NA
glanzmann thrombasthenia, autosomal dominant		NA
blepharophimosis, ptosis, and epicanthus inversus		NA
bloom syndrome	D001816	Bloom Syndrome
blue cone monochromatism		NA
bohring syndrome		NA
boomerang dysplasia		NA
borjeson-forssman-lehmann syndrome		NA
athabaskan brainstem dysgenesis		NA
bothnia retinal dystrophy		NA
bowen-conradi syndrome		NA
branchiootic syndrome 3		NA
brachydactyly-syndactyly syndrome		NA
brachydactyly type a1		NA
brachydactyly type a2		NA
brachydactyly, type b1		NA
brachydactyly type c		NA
brachydactyly, type d		NA
spondyloepimetaphyseal dysplasia, pakistani type		NA
brachyolmia type 3		NA
prolonged electroretinal response suppression		NA
brain small vessel disease with hemorrhage		NA
adenomatous polyposis coli	D011125	Adenomatous Polyposis Coli
branchio-oto-renal syndrome	D019280	Branchio-Oto-Renal Syndrome
ehlers-danlos syndrome 6b		NA
brody myopathy		NA
bronchiectasis with or without elevated sweat chloride 2		NA
bronchiectasis with or without elevated sweat chloride 3		NA
familial cylindromatosis		NA
brown-vialetto-van laere syndrome		NA
bruck syndrome 2		NA
brugada syndrome	D053840	Brugada Syndrome
brugada syndrome 2		NA
brugada syndrome 3		NA
brugada syndrome 4		NA
brugada syndrome 6		NA
brugada syndrome 7		NA
brugada syndrome 8		NA
brunner syndrome		NA
burkitt lymphoma	D002051	Burkitt Lymphoma
complement component 5 deficiency		NA
complement component 6 deficiency		NA
complement component 7 deficiency		NA
hyperostosis, cortical, congenital	D006958	Hyperostosis, Cortical, Congenital
calcification of joints and arteries		NA
campomelic dysplasia	D055036	Campomelic Dysplasia
jacobs syndrome		NA
camurati-engelmann syndrome	D003966	Camurati-Engelmann Syndrome
canavan disease	D017825	Canavan Disease
candidiasis familial chronic mucocutaneous, autosomal recessive		NA
capillary malformation-arteriovenous malformation		NA
capillary malformations, congenital, 1		NA
carbamoyl-phosphate synthase i deficiency disease	D020165	Carbamoyl-Phosphate Synthase I Deficiency Disease
carboxypeptidase n deficiency		NA
carcinoid tumors, intestinal		NA
brugada syndrome 5		NA
cardiac valvular dysplasia, x-linked		NA
cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency		NA
cardiofaciocutaneous syndrome		NA
cardiomyopathy, dilated, 1aa		NA
cardiomyopathy, dilated, 1bb		NA
cardiomyopathy, dilated, 1cc		NA
cardiomyopathy, dilated, 1dd		NA
cardiomyopathy, dilated, 1e		NA
cardiomyopathy, dilated, 1ee		NA
cardiomyopathy, dilated, 1ff		NA
cardiomyopathy, dilated, 1g		NA
cardiomyopathy, dilated, 1i		NA
cardiomyopathy, dilated, 1j		NA
cardiomyopathy, dilated, 1l		NA
cardiomyopathy, dilated, 1m		NA
cardiomyopathy, dilated, 1n		NA
cardiomyopathy, dilated, 1o		NA
cardiomyopathy, dilated, 1p		NA
cardiomyopathy, dilated, 1t		NA
cardiomyopathy, dilated, 1u		NA
cardiomyopathy, dilated, 1v		NA
cardiomyopathy, dilated, 1w		NA
cardiomyopathy, dilated, 1x		NA
cardiomyopathy, dilated, 1y		NA
cardiomyopathy, dilated, 1z		NA
cardiomyopathy, dilated, 2a		NA
cardiomyopathy, familial hypertrophic, 6		NA
cardiomyopathy, familial hypertrophic, 1		NA
cardiomyopathy, familial hypertrophic, 10		NA
cardiomyopathy, familial hypertrophic, 11		NA
cardiomyopathy, familial hypertrophic, 13		NA
cardiomyopathy, familial hypertrophic, 14		NA
cardiomyopathy, familial hypertrophic, 15		NA
cardiomyopathy, familial hypertrophic, 2		NA
cardiomyopathy, familial hypertrophic, 3		NA
cardiomyopathy, familial hypertrophic, 4		NA
cardiomyopathy, familial hypertrophic, 8		NA
cardiomyopathy, familial hypertrophic, 9		NA
cardiomyopathy, familial restrictive, 1		NA
cardiomyopathy, familial restrictive, 3		NA
carney complex variant		NA
carnitine-acylcarnitine translocase deficiency		NA
systemic carnitine deficiency		NA
carotid intimal medial thickness 1		NA
carpal tunnel syndrome	D002349	Carpal Tunnel Syndrome
acrocephalopolysyndactyly type ii		NA
cataract, zonular pulverulent 1		NA
cataract, congenital zonular, with sutural opacities		NA
cataract, posterior polar, 4		NA
cataract, autosomal dominant, multiple types 1		NA
cataract, zonular pulverulent 3		NA
cataract, congenital nuclear, autosomal recessive 3		NA
cataract, autosomal recessive congenital 2		NA
cataract, coppock-like		NA
cataract, congenital nuclear, autosomal recessive 2		NA
cataract, nuclear diffuse nonprogressive		NA
cataract, posterior polar, 3		NA
cataract, cortical, juvenile-onset		NA
cataract, zonular		NA
cataract, autosomal dominant		NA
aniridia, type 2		NA
cataract, juvenile, with microcornea and glucosuria		NA
cataract, pulverulent, juvenile-onset		NA
catshl syndrome		NA
caudal duplication anomaly		NA
sacral defect and anterior sacral meningocele		NA
cd59 deficiency		NA
cd8 deficiency, familial		NA
syndactyly cenani lenz type		NA
congenital central hypoventilation syndrome		NA
cerebellar ataxia, mental retardation, and dysequilibrium syndrome 3		NA
cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2		NA
dysequilibrium syndrome		NA
cerebral amyloid angiopathy, familial	D028243	Cerebral Amyloid Angiopathy, Familial
cerebral amyloid angiopathy, app-related		NA
cadasil	D046589	CADASIL
cerebral cavernous malformations 2		NA
cerebral cavernous malformations 3		NA
creatine deficiency, x-linked		NA
guanidinoacetate methyltransferase deficiency		NA
arginine:glycine amidinotransferase deficiency		NA
cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome		NA
cerebral palsy, spastic quadriplegic, 1		NA
cerebral palsy, spastic quadriplegic, 2		NA
cerebrooculofacioskeletal syndrome 1		NA
cerebrooculofacioskeletal syndrome 2		NA
cerebrooculofacioskeletal syndrome 4		NA
xanthomatosis, cerebrotendinous	D019294	Xanthomatosis, Cerebrotendinous
ceroid lipofuscinosis, neuronal, 1		NA
ceroid lipofuscinosis, neuronal, 10		NA
ceroid lipofuscinosis, neuronal, 2		NA
ceroid lipofuscinosis, neuronal 5		NA
ceroid lipofuscinosis, neuronal, 6		NA
ceroid lipofuscinosis, neuronal, 7		NA
ceroid lipofuscinosis, neuronal 8		NA
uterine cervical neoplasms	D002583	Uterine Cervical Neoplasms
triglyceride storage disease with impaired long-chain fatty acid oxidation		NA
char syndrome		NA
charcot-marie-tooth disease, type 2f		NA
charcot-marie-tooth disease, type 2k		NA
charcot-marie-tooth disease, axonal, type 2n		NA
charcot-marie-tooth disease, dominant intermediate b		NA
charcot-marie-tooth disease, dominant intermediate c		NA
charcot-marie-tooth disease, dominant intermediate d		NA
charcot-marie-tooth disease, recessive intermediate a		NA
charcot-marie-tooth disease	D002607	Charcot-Marie-Tooth Disease
charcot-marie-tooth disease, type 1c		NA
charcot-marie-tooth disease, type 1d		NA
charcot-marie-tooth disease, demyelinating, type 1e		NA
charcot-marie-tooth disease, type 1f		NA
charcot-marie-tooth disease, axonal, type 2a1		NA
charcot-marie-tooth disease, axonal, type 2a2		NA
charcot-marie-tooth disease, type 2b		NA
charcot-marie-tooth disease, type 2b1		NA
charcot-marie-tooth disease, type 2b2		NA
charcot-marie-tooth disease, type 2d		NA
charcot-marie-tooth disease, type 2e		NA
charcot-marie-tooth disease, type 2i		NA
charcot-marie-tooth disease, type 2j		NA
charcot-marie-tooth disease, type 4a		NA
charcot-marie-tooth disease, type 4b1		NA
charcot-marie-tooth disease, type 4b2		NA
charcot-marie-tooth disease, type 4c		NA
neuropathy, hereditary motor and sensory, lom type		NA
charcot-marie-tooth disease, type 4h		NA
charcot-marie-tooth disease, type 4j		NA
optic atrophy polyneuropathy deafness		NA
charcot-marie-tooth disease, x-linked, 1		NA
chediak-higashi syndrome	D002609	Chediak-Higashi Syndrome
cherubism	D002636	Cherubism
chilblain lupus		NA
congenital hemidysplasia with ichthyosiform erythroderma and limb defects		NA
congenital chloride diarrhea		NA
cholestasis, intrahepatic of pregnancy		NA
cholestasis, progressive familial intrahepatic 1		NA
cholestasis, progressive familial intrahepatic 2		NA
cholestasis, progressive familial intrahepatic 3		NA
chondrocalcinosis 2		NA
rhizomelic chondrodysplasia punctata, type 2		NA
chondrodysplasia punctata 2, x-linked dominant	D002806	Chondrodysplasia Punctata
chondrodysplasia punctata, brachytelephalangic		NA
chondrodysplasia, blomstrand type		NA
chondrodysplasia, grebe type		NA
chondrosarcoma	D002813	Chondrosarcoma
chondrosarcoma, extraskeletal myxoid		NA
chorea	D002819	Chorea
neuroacanthocytosis	D054546	Neuroacanthocytosis
choreoathetosis, hypothyroidism, and neonatal respiratory distress		NA
choroidal dystrophy, central areolar 2		NA
papilloma, choroid plexus	D020288	Papilloma, Choroid Plexus
choroideremia	D015794	Choroideremia
chondrodysplasia, acromesomelic, with genital anomalies		NA
granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type i		NA
granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type ii		NA
granulomatous disease, chronic, autosomal recessive, cytochrome b-negative		NA
granulomatous disease, chronic, x-linked	D006105	Granulomatous Disease, Chronic
chudley-mccullough syndrome		NA
chylomicron retention disease		NA
kartagener syndrome	D007619	Kartagener Syndrome
ciliary dyskinesia, primary, 10		NA
ciliary dyskinesia, primary, 11		NA
ciliary dyskinesia, primary, 12		NA
ciliary dyskinesia, primary, 13		NA
primary ciliary dyskinesia, 2		NA
primary ciliary dyskinesia, 3		NA
ciliary dyskinesia, primary, 5		NA
ciliary dyskinesia, primary, 6		NA
ciliary dyskinesia, primary, 7		NA
ciliary dyskinesia, primary, 9		NA
cryopyrin-associated periodic syndromes	D056587	Cryopyrin-Associated Periodic Syndromes
north american indian childhood cirrhosis		NA
citrullinemia	D020159	Citrullinemia
adult-onset citrullinemia type 2		NA
neonatal-onset citrullinemia type 2		NA
cleft palate, isolated, and mental retardation		NA
cleft palate x-linked		NA
cleidocranial dysplasia	D002973	Cleidocranial Dysplasia
clubfoot	D003025	Clubfoot
coach syndrome		NA
cockayne syndrome	D003057	Cockayne Syndrome
spinocerebellar ataxia, autosomal recessive 9		NA
coffin-lowry syndrome	D038921	Coffin-Lowry Syndrome
cohen syndrome		NA
cold-induced sweating syndrome 1		NA
crisponi syndrome		NA
coloboma	D003103	Coloboma
pilomatrixoma	D018296	Pilomatrixoma
lynch syndrome i (site-specific colonic cancer)		NA
lynch syndrome ii	D055847	Lynch Syndrome II
colorectal cancer, hereditary nonpolyposis, type 8		NA
combined cellular and humoral immune defects with granulomas		NA
x-linked combined immunodeficiency diseases	D053632	X-Linked Combined Immunodeficiency Diseases
combined oxidative phosphorylation deficiency 1		NA
combined oxidative phosphorylation deficiency 2		NA
combined oxidative phosphorylation deficiency 3		NA
combined oxidative phosphorylation deficiency 4		NA
combined oxidative phosphorylation deficiency 5		NA
combined saposin deficiency		NA
complement component 4, partial deficiency of		NA
complement factor h deficiency		NA
complement factor i deficiency		NA
mitochondrial complex i deficiency		NA
cone-rod dystrophy 10		NA
cone-rod dystrophy 11		NA
cone-rod dystrophy 12		NA
cone-rod dystrophy 13		NA
cone dystrophy 3		NA
cone-rod dystrophy 3		NA
cone-rod dystrophy 5		NA
retinal cone dystrophy 2		NA
cone-rod dystrophy 7		NA
cone-rod dystrophy, x-linked, 3		NA
cone dystrophy 4		NA
congenital bilateral aplasia of vas deferens		NA
congenital cataracts, facial dysmorphism, and neuropathy		NA
congenital disorder of glycosylation type 1a		NA
congenital disorder of glycosylation type 1b		NA
congenital disorder of glycosylation type 1c		NA
congenital disorder of glycosylation type 1d		NA
congenital disorder of glycosylation type 1e		NA
congenital disorder of glycosylation type 1f		NA
congenital disorder of glycosylation type 1g		NA
congenital disorder of glycosylation type 1h		NA
congenital disorder of glycosylation type 1i		NA
congenital disorder of glycosylation type 2a		NA
congenital disorder of glycosylation, type iib		NA
congenital disorder of glycosylation, type 2c		NA
congenital disorder of glycosylation type 2d		NA
congenital disorder of glycosylation type 2e		NA
congenital disorder of glycosylation, type iif		NA
congenital disorder of glycosylation, type 2g		NA
congenital disorder of glycosylation, type iih		NA
congenital disorder of glycosylation type 1j		NA
congenital disorder of glycosylation type 1k		NA
congenital disorder of glycosylation type 1l		NA
congenital disorder of glycosylation, type im		NA
congenital disorder of glycosylation, type in		NA
congenital disorder of glycosylation, type io		NA
plasminogen deficiency, type i		NA
congenital contractural arachnodactyly		NA
infantile convulsions and paroxysmal choreoathetosis, familial		NA
cornea plana 2		NA
corneal dystrophy, posterior polymorphous, 2		NA
corneal dystrophy avellino type		NA
corneal dystrophy, congenital stromal		NA
corneal dystrophy, epithelial basement membrane		NA
corneal dystrophy, fuchs' endothelial, 1		NA
corneal dystrophy, fuchs endothelial, 4		NA
corneal dystrophy, fuchs endothelial, 6		NA
corneal dystrophy, gelatinous drop-like		NA
groenouw type i corneal dystrophy		NA
corneal dystrophy, posterior polymorphous, 1		NA
lattice corneal dystrophy type 1		NA
corneal dystrophy, lattice type iiia		NA
corneal dystrophy, posterior polymorphous, 3		NA
corneal dystrophy of bowman layer, type 1		NA
corneal dystrophy, crystalline, of schnyder		NA
corneal dystrophy, thiel-behnke type		NA
corneal endothelial dystrophy type 2		NA
corneal dystrophy and perceptive deafness		NA
corneal dystrophy, fleck		NA
de lange syndrome	D003635	De Lange Syndrome
corpus callosum, agenesis of, with mental retardation, ocular coloboma, and micrognathia		NA
corpus callosum, partial agenesis of, x-linked		NA
corticosteroid-binding globulin deficiency		NA
cortisone reductase deficiency		NA
cowchock syndrome		NA
cowden-like syndrome		NA
carnitine palmitoyl transferase 1a deficiency		NA
carnitine palmitoyltransferase ii deficiency, infantile		NA
carnitine palmitoyltransferase ii deficiency, lethal neonatal		NA
cranioectodermal dysplasia		NA
craniofacial deafness hand syndrome		NA
craniofrontonasal dysplasia		NA
craniolenticulosutural dysplasia		NA
craniometaphyseal dysplasia, autosomal dominant		NA
craniosynostosis, type 2		NA
crigler najjar syndrome, type 2		NA
crouzon syndrome with acanthosis nigricans		NA
craniofacial dysostosis	D003394	Craniofacial Dysostosis
cryptorchidism	D003456	Cryptorchidism
currarino triad		NA
cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities		NA
cutis laxa, autosomal recessive, type iia		NA
cutis laxa, autosomal recessive, type iib		NA
gamma-cystathionase deficiency		NA
cystinosis, late-onset juvenile or adolescent nephropathic type		NA
cystinosis, ocular nonnephropathic		NA
cystinuria	D003555	Cystinuria
glycogen storage disease type iib	D052120	Glycogen Storage Disease Type IIb
darier disease	D007644	Darier Disease
atelosteogenesis type 2		NA
de sanctis-cacchione syndrome		NA
deafness, autosomal dominant 1		NA
deafness, autosomal dominant 10		NA
deafness, autosomal dominant 11		NA
deafness, autosomal dominant 15		NA
deafness, autosomal dominant 20		NA
deafness, autosomal dominant 23		NA
deafness, autosomal dominant 25		NA
deafness, autosomal dominant 28		NA
deafness, autosomal dominant 2a		NA
deafness, autosomal dominant 2b		NA
deafness, autosomal dominant 36		NA
deafness, autosomal dominant 39, with dentinogenesis imperfecta 1		NA
deafness, autosomal dominant 3a		NA
deafness, autosomal dominant 3b		NA
deafness, autosomal dominant 44		NA
deafness, autosomal dominant 48		NA
deafness, autosomal dominant 5		NA
deafness, autosomal dominant 6		NA
deafness, autosomal dominant 12		NA
deafness, autosomal dominant 9		NA
deafness, autosomal recessive 15		NA
deafness, autosomal recessive 16		NA
deafness, autosomal recessive 1a		NA
deafness, autosomal recessive 1b		NA
deafness, autosomal recessive 2		NA
deafness, autosomal recessive 21		NA
deafness, autosomal recessive 22		NA
deafness, autosomal recessive 23		NA
deafness, autosomal recessive 28		NA
deafness, autosomal recessive 3		NA
deafness, autosomal recessive 30		NA
deafness, autosomal recessive 31		NA
deafness, autosomal recessive 35		NA
deafness, autosomal recessive 37		NA
deafness, autosomal recessive 39		NA
deafness, autosomal recessive 42		NA
deafness, autosomal recessive 48		NA
deafness, autosomal recessive 49		NA
deafness, autosomal recessive 59		NA
deafness, autosomal recessive 6		NA
deafness, autosomal recessive 63		NA
deafness, autosomal recessive 67		NA
deafness, autosomal recessive 7		NA
deafness, autosomal recessive 77		NA
deafness, autosomal recessive 79		NA
deafness, autosomal recessive 9		NA
deafness, congenital, with inner ear agenesis, microtia, and microdontia		NA
deafness, x-linked 1		NA
progressive hearing loss stapes fixation		NA
deafness, x-linked 4		NA
dehydrated hereditary stomatocytosis, pseudohyperkalemia, and perinatal edema		NA
dementia, familial british		NA
dementia, familial danish		NA
frontotemporal dementia, chromosome 3-linked		NA
frontotemporal dementia	D057180	Frontotemporal Dementia
dent disease 2		NA
dent disease 1		NA
myoclonic epilepsies, progressive	D020191	Myoclonic Epilepsies, Progressive
dentin dysplasia, type 1		NA
dentinogenesis imperfecta	D003811	Dentinogenesis Imperfecta
dentinogenesis imperfecta, shields type 3		NA
denys-drash syndrome	D030321	Denys-Drash Syndrome
dermatopathia pigmentosa reticularis		NA
desbuquois syndrome		NA
desmoid disease, hereditary		NA
desmosterolosis		NA
diabetes insipidus, nephrogenic	D018500	Diabetes Insipidus, Nephrogenic
diabetes insipidus, neurogenic	D020790	Diabetes Insipidus, Neurogenic
diabetes mellitus, insulin-dependent, 20		NA
diabetes mellitus, insulin-resistant, with acanthosis nigricans		NA
diabetes mellitus, neonatal, with congenital hypothyroidism		NA
diabetes mellitus, permanent neonatal		NA
diabetes mellitus, permanent neonatal, with cerebellar agenesis		NA
diabetes mellitus, transient neonatal, 2		NA
diabetes mellitus, transient neonatal, 3		NA
diabetes mellitus, insulin-dependent, 2		NA
anemia, diamond-blackfan	D029503	Anemia, Diamond-Blackfan
diamond-blackfan anemia 10		NA
anemia, diamond-blackfan, 3		NA
diamond-blackfan anemia 4		NA
diamond-blackfan anemia 5		NA
diamond-blackfan anemia 7		NA
diamond-blackfan anemia 8		NA
diamond-blackfan anemia 9		NA
diaphragmatic hernia 3		NA
diaphyseal medullary stenosis with malignant fibrous histiocytoma		NA
diarrhea 3, secretory sodium, congenital		NA
diarrhea 4, malabsorptive, congenital		NA
diarrhea 5, with tufting enteropathy, congenital		NA
diastrophic dysplasia		NA
dihydropyrimidine dehydrogenase deficiency	D054067	Dihydropyrimidine Dehydrogenase Deficiency
dihydropyrimidinase deficiency		NA
cardiomyopathy dilated with woolly hair and keratoderma		NA
dimethylglycine dehydrogenase deficiency		NA
donnai-barrow syndrome		NA
dopamine beta hydroxylase deficiency		NA
dowling-degos disease		NA
doyne honeycomb retinal dystrophy		NA
fibular hypoplasia and complex brachydactyly		NA
duane retraction syndrome	D004370	Duane Retraction Syndrome
jaundice, chronic idiopathic	D007566	Jaundice, Chronic Idiopathic
muscular dystrophy, duchenne	D020388	Muscular Dystrophy, Duchenne
dyggve-melchior-clausen syndrome		NA
dysautonomia, familial	D004402	Dysautonomia, Familial
dyschromatosis symmetrica hereditaria 1		NA
dyskeratosis congenita, autosomal recessive		NA
dyskeratosis congenita	D019871	Dyskeratosis Congenita
dyssegmental dysplasia		NA
dystonia musculorum deformans type 1		NA
myoclonic dystonia		NA
dystonia 12		NA
dystonia 3, torsion, x-linked		NA
dystonia	D004421	Dystonia
dystonia 6, torsion		NA
choreoathetosis/spasticity, episodic		NA
dystonia, dopa-responsive, due to sepiapterin reductase deficiency		NA
dystonia, dopa-responsive		NA
juvenile-onset dystonia		NA
epidermolysis bullosa with congenital localized absence of skin and deformity of nails		NA
ectodermal dysplasia 1, anhidrotic	D053358	Ectodermal Dysplasia 1, Anhidrotic
ectodermal dysplasia 3, anhidrotic	D053359	Ectodermal Dysplasia 3, Anhidrotic
ectodermal dysplasia, hypohidrotic, autosomal recessive	D053360	Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive
witkop syndrome		NA
ectodermal dysplasia, anhidrotic, with t-cell immunodeficiency, autosomal dominant		NA
ectodermal dysplasia, ectrodactyly, and macular dystrophy		NA
ectodermal dysplasia, hypohidrotic, with immune deficiency		NA
ectodermal dysplasia/ skin fragility syndrome		NA
ectodermal dysplasia, anhidrotic, with immunodeficiency, osteopetrosis, and lymphedema		NA
ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3		NA
ehlers-danlos syndrome, cardiac valvular form		NA
ehlers-danlos syndrome, progeroid form		NA
ehlers-danlos syndrome type 1		NA
ehlers-danlos syndrome type 2		NA
ehlers-danlos syndrome type 3		NA
ehlers-danlos syndrome type 6		NA
ehlers-danlos syndrome, type vii, autosomal dominant		NA
ehlers-danlos syndrome, type vii, autosomal recessive		NA
eiken skeletal dysplasia		NA
elliptocytosis 1		NA
elliptocytosis 2		NA
ellis-van creveld syndrome	D004613	Ellis-Van Creveld Syndrome
muscular dystrophy, emery-dreifuss	D020389	Muscular Dystrophy, Emery-Dreifuss
familial encephalopathy with neuroserpin inclusion bodies		NA
encephalopathy, neonatal severe, due to mecp2 mutations		NA
endocrine-cerebroosteodysplasia		NA
endplate acetylcholinesterase deficiency		NA
enhanced s-cone syndrome		NA
enterokinase deficiency		NA
epidermodysplasia verruciformis	D004819	Epidermodysplasia Verruciformis
epidermolysis bullosa dystrophica, pasini type		NA
epidermolysis bullosa pruriginosa		NA
epidermolysis bullosa simplex with migratory circinate erythema		NA
epidermolysis bullosa simplex with mottled pigmentation		NA
epidermolysis bullosa simplex with pyloric atresia		NA
epidermolysis bullosa simplex	D016110	Epidermolysis Bullosa Simplex
epidermolysis bullosa simplex, ogna type		NA
epidermolysis bullosa simplex, autosomal recessive		NA
epidermolysis bullosa, junctional, non-herlitz type		NA
epidermolysis bullosa, junctional	D016109	Epidermolysis Bullosa, Junctional
epidermolysis bullosa, lethal acantholytic		NA
epidermolysis bullosa, pretibial		NA
hyperkeratosis, epidermolytic	D017488	Hyperkeratosis, Epidermolytic
keratoderma, palmoplantar, epidermolytic	D053546	Keratoderma, Palmoplantar, Epidermolytic
epilepsy, partial, with variable foci		NA
